Authors,Year,Article Title,Source Title,Abstract,DOI,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Method,Method Category,Asymmetric Rewiring Result,Habitat Coupling Result (Direction),Total Flux Result (Direction),Result description,Where result appears in paper,Model
"Kristin Scharnweber, Carolin Scholz, Victor Schippenbeil, Stefania Milano, Daniel Hhn",2023,Effects of mining activities on fish communities and food web dynamics in a lowland river,Ecology And Evolution,"Fish communities of streams and rivers might be substantially subsidized by terrestrial insects that fall into the water. Although such animal-mediated fluxes are increasingly recognized, little is known about how anthropogenic perturbations may influence the strength of such exchanges. Intense land use, such as lignite mining, may impact a river ecosystem due to the flocculation of iron (III) oxides, thus altering food web dynamics. We compared sections of the Spree River in North-East Germany that were greatly influenced by iron oxides with sections located downstream of a dam where passive remediation technologies are applied. Compared to locations downstream of the dam, the abundance of benthic macroinvertebrates at locations of high iron concentrations upstream of the dam was significantly reduced. Similarly, catch per unit effort of all fish was significantly higher in locations downstream of the dam compared to locations upstream of the dam, and the condition of juvenile and adult piscivorous pike Esox lucius was significantly lower in sections of high iron concentrations. Using an estimate of short-term (i.e., metabarcoding of the gut content) as well as longer-term (i.e., hydrogen stable isotopes) resource use, we could demonstrate that the three most abundant fish species, perch Perca fluviatilis, roach Rutilus rutilus, and bleak Alburnus alburnus, received higher contributions of terrestrial insects to their diet at locations of high iron concentration. In summary, lotic food webs upstream and downstream of the dam greatly differed in the overall structure with respect to the energy available for the highest tropic levels and the contribution of terrestrial insects to the diet of omnivorous fish. Therefore, human-induced environmental perturbations, such as river damming and mining activities, represent strong pressures that can alter the flow of energy between aquatic and terrestrial systems, indicating a broad impact on the landscape level.",https://doi.org/10.1002/ece3.11111,Aquatic,River,"Spree River, north-eastern Germany (Lusatian region)",Spatial,"Perch Perca fluviatilis, roach Rutilus rutilus, and bleak Alburnus alburnus",Density,Multi-pressure,Damming and mining pollution,Terrestrial idex (stable isotopes of hydrogen _2H); DNA metabarcoding of stomach contents,Stable isotope analysis & gut content analysis,Stable Isotope Analysis,Yes,Increase,NA,"Short-term (i.e., metabarcoding of the gut) and longer-term (i.e., hydrogen stable isotopes) estimates of resource use suggested that the three most abundant fish species in the Spree river system received higher contributions of terrestrial insects to their diet at locations of high iron concentration which also corresponded to sites upstream of a dam. Such low availability of aquatic prey at high iron section of the Spree River might force some fish species to integrate terrestrial insects into their diet. DNA metabarcoding of fish stomachs revealed that perch and bleak caught upstream of the dam had a higher number of terrestrial species in their gut content, but this result was not significant for roach.  The pattern was further confirmed by the stable isotope data, as perch, bleak and roach incorporated a greater proportion of terrestrial resources to their diet (average of 14% at low iron/downstream sections to average of 55% at high iron/upstream sections).",Figure 4,Two-source mixing model similar to the allochthony index from Keva et al. (2022).
"Kena Fox-Dobbs, Abigail A Nelson, Paul L Koch, Jennifer A Leonard",2012,Faunal isotope records reveal trophic and nutrient dynamics in twentieth century Yellowstone grasslands,Biology Letters,"Population sizes and movement patterns of ungulate grazers and their predators have fluctuated dramatically over the past few centuries, largely owing to overharvesting, land-use change and historic management. We used delta C-13 and delta N-15 values measured from bone collagen of historic and recent gray wolves and their potential primary prey from Yellowstone National Park to gain insight into the trophic dynamics and nutrient conditions of historic and modern grasslands. The diet of reintroduced wolves closely parallels that of the historic population. We suggest that a significant shift in faunal delta N-15 values over the past century reflects impacts of anthropogenic environmental changes on grassland ecosystems, including grazer-mediated shifts in grassland nitrogen cycle processes.",10.1098/rsbl.2012.0321,Terrestrial ,Grassland,"Yellowstone National Park, USA",Temporal,Gray wolves (Canis lupus),NA,Multi-pressure,"climate change, habitat loss, wild fires, atmospheric deposition",source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,No,No change,NA,"The study found that the diet of reintroduced wolves closely matches that of the historic population, indicating significant shifts in baseline d15N values rather than a shift in wolf diets  over the past century. This change likely reflects the impact of anthropogenic environmental changes on grassland ecosystems, particularly through grazer-mediated alterations in grassland nitrogen cycle processes.",Figure 1b,SIAR
Deepa Shashikant Yogi and Akshay Naik and Ranjana Yadav and Aniket Desai and Mandar Nanajkar,2024,`Trophic switch' by catfish community from predation to scavenging modulated by human food discard in an estuarine bay,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Benthic predatory catfishes are voracious and opportunistic predators and can easily shift their diet according to the availability of prey. In this study, feeding ecology of catfishes from two adjacent habitats of an estuarine bay is compared. The lower bay was relatively pristine as compared to the upper bay and was represented by two families of catfishes-Plotosidae and Ariidae, while the upper bay represented only ariid catfishes. Gut content analysis revealed that catfish predators from lower bay consumed conventional prey like teleosts and benthic invertebrates with a linear pattern of ontogenetic dietary shift. Plicofollis dussumieri and Plotosus canius occupied the position of top predators in the lower bay and were specialized feeders. Other predators like Plotosus lineatus, Arius arius, Arius jella, and Arius maculatus were generalist feeders occupying the position of mesopredators. However, in the upper bay, the catfish predators represented by Arius maculatus, Arius jella, and Arius arius predominantly fed on human discarded food. The easily available human food in the form of chicken, corn, and rice as noted from the investigated guts shows altered trophic guilds of ariid catfishes wherein only mid to large-sized catfish community was noted in this bay. A distinct ``trophic switch{''} altered the trophic function from predation to scavenging which was observed in their feeding behavior. The anthropogenic impact in the form of unmanaged organic waste alters the role of predatory catfishes thereby restructuring the food web that may lead to unknown changes in the estuarine benthic ecosystems resulting in reduced ecosystem services.",10.1007/s11356-023-31749-1,Aquatic,Estuary,"Caranzalem Bay, Goa, Eastern Arabian Sea",Spatial,"Estuarian catfish (Arius arius, Arius maculatus, Arius jella, Plotosus lineatus, Plicofollis dussumieri, and Plotosus canius)",Density,Pollution,Proximity to waste disposal and urban centers,Weight proportion of each prey item,Gut content analysis ,Gut content analysis,Yes,Decrease,NA,"In the lower bay region, catfishes exhibited a mixed diet dominated by natural prey, with Plotosus lineatus, Plicofollis dussumieri, and Plotosus canius primarily consuming teleosts, while Arius maculatus, Arius arius, and Arius jella fed substantially on both crustaceans and teleosts. In contrast, catfishes from the upper bay region were almost entirely dependent on discarded human food, with natural prey items such as teleosts and crustaceans playing a negligible role in their diet.",Figure 2; Table 1; Table 2,Hyslop 1980 proportion weight of gut contents model and nMDS to define dissimilarities in diets from the pristine and impacted sites. 
Jessica L. East and Christopher Wilcut and Allison A. Pease,2017,Aquatic food-web structure along a salinized dryland river,Freshwater Biology,"1. Very little is known about the ecosystem impacts of river salinization despite expectations for global increases in salinization with growing water demand and climate change. In some rivers in the southwestern United States, salinization has occurred as a result of natural saline inputs exacerbated by flow alteration and other anthropogenic impacts. Salinization in the Pecos River has been linked to declines in fish diversity, but impacts on the structure of aquatic food webs have not been investigated. 2. We assessed variation in local food webs along the longitudinal gradient of the main stem Pecos River by estimating carbon sources, trophic positions and assemblage-wide trophic structure for aquatic consumers at 12 sites using stable isotope analysis (delta C-13 and delta N-15). Temporal variation across seasons was also examined for common fish species at a subset of sites. 3. Consumer richness, food-chain length and assemblage-wide niche breadth were inversely related to specific conductivity. Mixing models revealed differences in sources of dietary carbon supporting fish production along the longitudinal fluvial gradient, with a shift towards reliance on algal production in the salinized reaches of the river. Trophic niche breadth was greatest for assemblages in less degraded sites with higher fish species richness. Local food webs in salinized sites were dominated by euryhaline species and had shorter food chains and narrower assemblage-wide niche breadths. Across seasons, delta C-13 and delta N-15 signatures remained fairly constant for five common fish species. 4. Our results suggest that salinization in portions of the Pecos River constrains the diversity of consumers and trophic resources in local food webs. Characterising changes in food-web structure in relation to salinization and other environmental changes is important for habitat assessment, stream restoration and other conservation strategies.",10.1111/fwb.12893,Aquatic,River,The Pecos River in the southwestern United States,Spatiotemporal,"Cyprinella lutrensis (Cyprinidae), Cyprinodon hybrids (C. variegatus _ C. pecosensis, Cyprinodontidae), Fundulus grandis (Fundulidae), Lucania parva (Fundulidae) and Gambusia affinis (Poeciliidae)",Density,Pollution,Salinization,% allochtonous carbon reliance,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Specific conductivity (i.e., salinity)  was lowest in the northernmost Middle Pecos site and in Edwards Plateau  region  sites  in  the  Lower  Pecos,  while  peaking  in  the  Permian  Basin region. The  two-source  mixing  model  revealed  that  the relative proportions of riparian and instream sources of dietary carbon supporting fishes and benthic macroinvertebrates  shifted  along  the  longitudinal  gradient. The northernmost site in the Middle Pecos and the Permian Basin had relatively high riparian carbon influence for all consumers. Sources supporting fish production shifted to much higher instream contribution in the remaining  Permian Basin region sites, with an increase in riparian input for sites in the Edwards Plateau. ",Figure 4a,IsoError
"Hunt, Jamie-Lee and Paterson, Harriet and Close, Paul and Pettit, Neil E",2020,Riparian condition influences spider community structure and the contribution of aquatic carbon subsidies to terrestrial habitats,Science Of The Total Environment,"Degradation of riparian zones can alter aquatic and terrestrial communities of flora and fauna and disrupt their role in assimilating and mobilising carbon between the two ecosystems. Riparian spiders that predate on emergent aquatic invertebrates can contribute to carbon flux and the structure of aquatic and riparian food webs. The impact of riparian degradation on spiders in temperate rivers of Australia and their role in this broader ecosystem function is poorly understood. We surveyed the riparian zone of four rivers of south-western Australia in areas of natural intact vegetation and degraded agricultural land to explore whether riparian spider abundance, and diversity may be affected by changes to riparian condition. We also assessed the impact of the riparian condition on carbon fluxes between aquatic and terrestrial environments, using stable isotope analysis. We found overall abundance of riparian spiders was higher in degraded agricultural sites compared to natural intact sites and the structure of spider assemblages was different. Orb-weaver spiders (Araneidae and Tetragnathidae) were found to be more abundant in agricultural areas where canopy cover and understory are sparse as a result of livestock grazing and trampling. The contribution of carbon from aquatic invertebrates in a natural intact site was 48.5% for Orb-weavers and 41.6% for Cursorial Hunter spiders but reduced to 19.6% and 39.9% respectively in a degraded agricultural site. These results suggest that the position of spiders in riparian food webs and the amount of aquatic subsidy may change according to the condition and complexity of the riparian zone.",10.1016/j.scitotenv.2020.141109,Terrestrial ,Riparian,South-Western Australia,Spatial,Orb weaving and cursorial spiders (Araneidae and Tetragnathidae),Density,Pollution,Eutrophication,% aquatic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"This study investigates whether riparian spiders are detrimentally affected by riparian degradation. Authors found that the amount of terrestrial inverts in the diet (estimated with SIAR) increased with agricultural degredation, which decreased the amount of habitat coupling into aquatic environments. Orb weavers consumed 51.5% terr. inverts in natural sites and 80.4% in degraded sites, and cursorial hunters consumed 58.3% terr. inverts in natural sites and 60.1% in degraded sites. The agricultural sites in this study were generally degraded with reduced native understory and tree canopy cover, increased exotic C4 grass invasion and high nutrient inputs from livestock. ",Table 3,SIAR
"Ripku, Tyler and Hayhurst, Lauren and Metcalfe, Chris D and Rennie, Michael",2023,Isotopic-based evidence for reduced benthic contributions to fish after a whole-lake addition of nanosilver,Journal Of Fish Biology,"Silver nanoparticles (AgNPs) are added as antibacterial and anti-odor agents to a wide range of textiles, with high potential for release into aquatic environments via domestic wastewater. Previous work demonstrating the negative impacts of AgNP exposure on periphyton production suggests benthic primary production could be reduced in aquatic ecosystems impacted by AgNP discharge. To evaluate the potential for AgNPs to alter benthic-pelagic coupling in aquatic ecosystems, tissue-stable isotope ratios of carbon and nitrogen from northern pike (Esox lucius) and yellow perch (Perca flavescens) were measured before, during, and after the addition of AgNPs to a whole-lake ecosystem, and compared to those collected from a nearby reference lake. A shift in carbon isotope ratios toward more negative values was observed in both P. flavescens and E. lucius collected from the lake where AgNPs were added, with no shift in similar magnitude observed in E. lucius from the reference lake. Consequently, Bayesian estimates of benthic energy consumed decreased by 32% for P. flavescens and by 40% for E. lucius collected after AgNP additions relative to pre-addition estimates, greater in magnitude or opposite in direction of trends observed in our reference lake. Analyses suggest no changes in fish nitrogen isotope ratios related to AgNP additions. We hypothesize that the observed reduction in littoral energy use of fish reported here is a response to AgNP settling in littoral benthic habitats-the main habitat in lakes supporting periphyton-as AgNP has been shown elsewhere to significantly reduce the rates of periphyton production. Further, our study highlights the need to broaden the scope of risk assessments for AgNPs and other emerging contaminants prone to settling to consider habitat-specific impacts on resource utilization by organisms after their release into aquatic ecosystems.",10.1111/jfb.15526,Aquatic,Lake,"IISD-ELA, Kenora, Ontario",Experimental treatment,Northern pike (Esox lucius),Density,Pollution,Silver contamination,% littoral derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"The authors analyzed d15N and d13C data from Northern pike in a reference lake without any exposure to AgNP (silver nanoparticles) pollution and a lake that had been experimentally treated with AgNP in the past. The results from the MixSIAR mixing models shows that N. pike rely heavily on both littoral and pelagic production in the reference lake, but consume nearly entirely pelagic production in the polluted lake. This was largely attributed to the negative impacts that AgNP can have on periphyton growth in the benthos. ",Figure 3b; Figure 2b,MixSIAR
"Ioar de Guzman, Arturo Elosegi, Daniel von Schiller, Jose M. Gonzlez, Laura E. Paz, Benoit Gauzens, Ulrich Brose, Alvaro Antn, Nuria Olarte, Jos M. Montoya, Aitor Larraaga",2023,"Treated and highly diluted, but wastewater still impacts diversity and energy fluxes of freshwater food webs",Journal of Environmental Management,"Wastewater treatment plants (WWTPs) have greatly improved water quality globally. However, treated effluents still contain a complex cocktail of pollutants whose environmental effects might go unnoticed, masked by additional stressors in the receiving waters or by spatiotemporal variability. We conducted a BACI (Before-After/Control-Impact) ecosystem manipulation experiment, where we diverted part of the effluent of a large tertiary WWTP into a small, unpolluted stream to assess the effects of a well-treated and highly diluted effluent on riverine diversity and food web dynamics. We sampled basal food resources, benthic invertebrates and fish to search for changes on the structure and energy transfer of the food web with the effluent. Although effluent toxicity was low, it reduced diversity, increased primary production and herbivory, and reduced energy fluxes associated to terrestrial inputs. Altogether, the effluent decreased total energy fluxes in stream food webs, showing that treated wastewater can lead to important ecosystem-level changes, affecting the structure and functioning of stream communities even at high dilution rates. The present study shows that current procedures to treat wastewater can still affect freshwater ecosystems and highlights the need for further efforts to treat polluted waters to conserve aquatic food webs.",https://doi.org/10.1016/j.jenvman.2023.118510,Aquatic,Stream,"Apraitz Stream, Northern Iberian Peninsula",Experimental treatment,Fish and invertebrates (carnivores),Density,Pollution,Nutrient loading (wast water effluent),"Dependency on resources derived from biofilm versus detrital food web energy channels (Soetaert and Kones, 2014)",Adapted food-web energetics approach,Energetic modelling,Yes,Increase,Decrease,"The addition of treated wastewater effluent to the stream altered the structure of energy flow within the food web by shifting reliance of carnivores from being dominated by the detrital (brown) pathway to more equal contribution from the autotrophic (green) pathway. Specifically, herbivory increased following the introduction of the effluent, largely due to a rise in biofilm consumption by omnivores. At the same time, detritivory declined, especially among primary consumers, reflecting a diminished role of detritus as a basal energy source. The overall level of carnivory did not change with effluent addition, but carnivores became more dependent on energy originating from biofilm, suggesting an indirect top-down propagation of changes in basal resource use. This response in carnivore reliance, but no change in species composition, suggests interaction strength rewiring. Despite the increase in herbivory, the total energy flux across the food web decreased with effluent addition. ","Figure 2, Table 1; Figure S6","Adapted food-web energetics approach (Barnes et al., 2018; Gauzens et al., 2019) by means of the ÒfluxwebÓ package in R (Gauzens et al., 2019). Energy fluxes to each consumer are defined as Fij = WijFj, where Fj is the sum of all the ingoing fluxes to consumer j and Wij is the proportion of Fj obtained from resource/prey i, after scaling consumer preferences wij to the biomass of the different resources/preys. To calculate the consumption on biofilm, detritus and preys, authors summed all the outgoing energy fluxes from each food resource. Thus, they quantified three consumption pathways: herbivory (consumption of biofilm), detritivory (consumption of coarse and fine detritus) and carnivory (consumption of animals) in the entire food web and within each trophic group (primary consumers, omnivores and carnivores) of each local food web. "
"Johanna M. Kraus, Justin F. Pomeranz, Andrew S. Todd, David M. Walters, Travis S. Schmidt & Richard B. Wanty",2016,Aquatic pollution increases use of terrestrial prey subsidies by stream fish,Journal of Animal Ecology,"Stream food webs are connected with their riparian zones through cross-ecosystem movements of energy and nutrients. The use and impact of terrestrial subsidies on aquatic consumers is determined in part by in situ biomass of aquatic prey. Thus, stressors such as aquatic pollutants that greatly reduce aquatic secondary production could increase the need for and reliance of stream consumers on terrestrial resource subsidies.
To test this hypothesis, we surveyed stream fish, their diets and resource availability in 16 subalpine streams over a regional gradient of trace metals known to strongly impact aquatic insect communities (i.e. fish prey) in the Colorado Rocky Mountains, USA.
Fish increased their reliance on terrestrial insect prey as stream metals increased. Relative biomass of terrestrial insects in stomach contents of Brook and Brown Trout increased with respect to aquatic insect biomass and total stomach contents. Drifting insect biomass showed a declining trend for aquatic, but not terrestrial insects, over the metal gradient. Trout densities were unrelated to metal concentrations in streams where we found fish.
Synthesis and applications. Our results indicate that diets of aquatic consumers can become more terrestrial as aquatic stressors that limit in situ food production increase and that these subsidies may compensate for loss of aquatic resources. This work implies an important connection between preserving aquaticÐterrestrial linkages and management of fish populations in stressed watersheds. Specifically, intact riparian zones and aquaticÐterrestrial linkages are likely to be important for maintaining trout production in streams with moderate metal contamination.",https://doi.org/10.1111/1365-2664.12543,Aquatic,Stream,"Colorado Rocky Mountains, USA",Spatial,Brown trout (Salmo trutta) and brook trout (Salvelinus fontinalis),Density,Pollution,Metal pollution (mining),"Changes in fish allochthony were measured for each stream as the mean of the ratios of terrestrial to aquatic invertebrate dry biomass (mg) in trout stomachs (Tdiet/Adiet), the mean percentage of terrestrial and aquatic invertebrate dry mass in trout stomachs (%Tdiet and %Adiet) and the proportion of trout that consumed any detectable biomass of terrestrial invertebrates (Nterr diet/Ntotal diet).",Gut content analysis ,Gut content analysis,Yes,Increase,NA,"Stream metals caused a significant decrease in the density of larval mayflies (a key food source for Brown and Brook Trout) by 70% across the metal gradient. As stream metal pollution increased, fish exhibited a substantial increase in allochthony, with a 9.4-fold rise in the proportion of terrestrial to aquatic insects in their diet. This shift corresponded to an increase in the proportion of terrestrial insect dry mass from 10% to 54%, while the percentage of aquatic insect dry mass decreased from 50% to 33%. The average percentage of terrestrial insects in fish diets increased fivefold (from 5% to 26%), while the proportion of aquatic insect mass remained relatively stable, showing no significant change. Additionally, consumption of aquatic dipterans increased slightly, though not significantly, from 15% to 45% of aquatic insect dry mass in the diet. Despite these dietary shifts, no significant changes were observed in fish density, body condition, or mass density across the metal gradient, with fish absent from streams with the highest metal pollution





",Figure 3; Figure 4,Generalized linear mixed models (GLMMs)
"Xu, Jun and Wen, Zhourui and Ke, Zhixin and Zhang, Meng and Zhang, Min and Guo, Nichun and Hansson, Lars-Anders and Xie, Ping",2014,Contrasting energy pathways at the community level as a consequence of regime shifts,Oecologia,"Ecological regime shifts typically result in abrupt changes in ecosystem structure through several trophic levels, which leads to rapid ecosystem reconFigureuration between regimes. An interesting aspect of the impact of regime shift is that alternative regimes may induce distinct shifts in energy pathways; these have been less tested than structural changes. This paper addresses this by using stable isotopes to establish the energy pathways in fish communities. We specifically focus on the impact of regime shift on changes of the energy pathways, and how the magnitude and direction of these changes affect the local community. We found that energy pathways significantly varied among the planktivorous, benthivorous, and piscivorous trophic guilds as a result of the alternative regimes. The regime shift from a clear to a turbid state altered the food web towards planktonic energy pathways and truncated food chain length, which is indicative of less ecological efficiency. This was confirmed by the adaptive foraging strategies of prevalent omnivores in the current communities. These structural and functional characteristics of trophic interactions might not facilitate classic trophic cascading effects in such a turbid regime and suppress the system's response to environmental changes, e.g., nutrient loading, and restoration efforts in turbid to clear water regime shifts.",10.1007/s00442-013-2878-2,Aquatic,Lake,"Lake Taihu, Yangtze Delta, China",Temporal,C. erythropterus and C. ectenes,Density,Pollution,Eutrophication,% benthic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,"Piscivores decreased their reliance on benthic derived carbon from approximately 78% to approximately 61% with eutrophication, indicating a greater reliance on pelagic derived carbon with eutrophication. ",Figure 4,Vander Zanden and Rasmussen 2001: benthivory = (13Cfish-13Cmussel)/(13Csnail -13Cmussel)
"S. Ma_eika P. Sullivan, Katie Hossler, Lars A. Meyer",2019,Artificial lighting at night alters aquatic-riparian invertebrate food webs,Ecological Applications,"Artificial lighting at night (ALAN) is a global phenomenon that can be detrimental to organisms at individual and population levels, yet potential consequences for communities and ecosystem functions are less resolved. Riparian systems may be particularly vulnerable to ALAN. We investigated the impacts of ALAN on invertebrate community composition and food web characteristics for linked aquatic-terrestrial ecosystems. We focused on food chain length (FCL), a central property of ecological communities that can influence their structure, function, and stability; and the contribution of aquatically derived energy (i.e., nutritional subsidies originating from stream periphyton). We collected terrestrial arthropods and emergent aquatic insects from a suite of stream and wetland sites in Columbus, Ohio, USA. Stable isotopes of carbon ((13) C) and nitrogen ((15) N) were used to infer FCL and contribution of aquatically derived energy. We found that moderate-to-high levels of ALAN altered invertebrate community composition, favoring primarily predators and detritivores. Impacts of ALAN, however, were very taxon specific as illustrated, for example, by the negative impact of ALAN on the abundance of orb-web spiders belonging to the families Tetragnathidae and Araneidae: key invertebrate riparian predators. Most notably, we observed decreases in both invertebrate FCL and reliance on aquatically derived energy under ALAN (although aquatic energetic contributions appeared to increase again at higher levels of ALAN), in addition to shifts in the timing of reciprocal nutritional subsidies. Our study demonstrates that ALAN can alter the flows of energy between aquatic and terrestrial systems, thereby representing an environmental perturbation that can cross ecosystem boundaries. Given projections for global increases in ALAN, both in terms of coverage and intensity, these results have broad implications for stream ecosystem structure and function.",10.1002/eap.1821,Terrestrial ,Riparian,"Columbus, Ohio, USA",Spatial,Tetragnathid spiders,Density,Pollution,Light pollution,% aquatic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,Tetragnathid spiders increased their reliance on periphyton derived carbon (aquatic sources) in systems with higher light pollution than sites with lower light pollution. ,Table 1; Figure S4,Two source mixing model (Post 2002)
Maike Huszarik and Alexis P. Roodt and Teagan Wernicke and Moritz Link and Eva Lima-Fernandes and David Ahlen and Verena C. Schreiner and Ralf Schulz and Peter Hambaeck and Martin H. Entling,2024,Shift in diet composition of a riparian predator along a stream pollution gradient,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Terrestrial insectivores in riparian areas, such as spiders, can depend on emergent aquatic insects as high-quality prey. However, chemical pollution entering streams from agricultural and urban sources can alter the dynamics and composition of aquatic insect emergence, which may also affect the riparian food web. Few studies have examined the effects of stressor-induced alterations in aquatic insect emergence on spiders, especially in terms of chemical pollution and diet composition. We used DNA metabarcoding of gut content to describe the diet of Tetragnatha montana spiders collected from 10 forested streams with differing levels of pesticide and wastewater pollution. We found that spiders consumed more Chironomidae and fewer other aquatic Diptera, including Tipulidae, Ptychopteridae and Culicidae, at more polluted streams. Pollution-related effects were mainly observed in the spider diet, and were not significant for the number nor composition of flying insects trapped at each site. Our results indicate that the composition of riparian spider diets is sensitive to stream pollution, even in the absence of a change in the overall proportion of aquatic prey consumed. A high reliance on aquatic prey at polluted streams may give spiders an increased risk of dietary exposure to chemical pollutants retained by emergent insects.",10.1098/rspb.2024.2104,Terrestrial,Riparian,"Rhineland-Palatinate, Germany",Spatial,Riparian spiders (Tetragnatha montana),NA,Pollution,Pesticide and wastewater pollution,% of diet from aquatic sources (percent of occurance in spider diet),Gut content analysis ,Gut content analysis,No,No change,NA,"Authors found that although riparian spiders appeared to consume a greater proportion of chironomids compared to other aquatic prey in systems with more toxic stream water quality, they did not exhibit any response in the overall proportion of resources derived from the aquatic habitat, as there were no significant relationships between stream pollution, canopy cover or stream size and the number of prey detections per spider, the proportion of aquatic prey in the spider diet, or the diet composition at the species level. ",Figure 2b; Table S11,PERMANOVA and GLMs
Michael E. Sierszen and Gregory S. Peterson and Anett S. Trebitz and John C. Brazner and Corlis W. West,2006,Hydrology and nutrient effects on food-web structure in ten lake superior coastal wetlands,Wetlands,"We examined the effects of hydrology and nutrients on the food webs of ten coastal wetlands on Lake Superior, using published stable isotope food web data for three wetlands and original data from seven additional systems in order to span regional hydrologic and nutrient enrichment gradients. We used a dual-source isotope mixing model to estimate the proportion of carbon in fish that originated from planktonic versus periphytic invertebrates, and we related carbon source to 1) nutrient enrichment, 2) hydraulic residence time, and 3) an index of nutrient loading that incorporates residence time and nutrient concentrations. There was no relationship between nutrient enrichment and the proportion of planktonic versus periphytic C in fish. Proportion of planktonic C in fish increased significantly with hydraulic residence time (F = 5.68, R-2 = 0.42, p = 0.044). Riverine wetlands generally had lowest proportions of planktonic C in fish, dendritic wetlands were intermediate, and lagoon wetlands had highest proportions. A regression between the loading index and planktonic C in fish was an improvement over the residence time regression (F = 11.7, R-2 = 0.59, p = 0.009). We conclude that coastal wetland food webs are strongly affected by hydrology and further by nutrient enrichment. This work has implications for the development of food web-based ecological indicators of nutrient enrichment and the use of hydrology as a classification factor in the prediction of nutrient effects on food webs.",10.1672/0277-5212(2006)26{[}951:HANEOF]2.0.CO;2,Aquatic,Wetland,"Lake Superior, Ontario",Spatial,"Northern pike (Esox lucius), yellow perch (Perca flavescens), brown bullhead (Ameiurus nebulosus), spottail shiner (Notropis hudsonius), and golden shiner (Notemigonus crysoleucas)",NA,Pollution,Eutrophication,% planktonic derived carbon,Stable isotope analysis,Stable Isotope Analysis,No,No change,NA,There was no statistically significant relationship between nutrient enrichment and the proportion of planktonic C in fish based on the author's logistic modelling approach. ,Figure 6a,Two-source mixing model
Nathan A. Medinski and Bryan M. Maitland and Timothy D. Jardine and D. Andrew R. Drake and Mark S. Poesch,2022,A catastrophic coal mine spill in the Athabasca River watershed induces isotopic niche shifts in stream biota including an endangered rainbow trout ecotype,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,"Freshwater biodiversity is declining from impacts associated with anthropogenic stressors. Here, we use carbon (delta C-13) and nitrogen (delta N-15) stable isotopes to assess food web effects following a coal mine spill that displaced biota and altered biophysical stream characteristics. We compared isotopic niche metrics of benthic macroinvertebrates and the fish community, including non-native brook trout (Salvelinus fontinalis) and endangered Athabasca rainbow trout (Oncorhynchus mykiss), to infer spatial differences in site-specific resource use along a habitat disturbance gradient. Predatory benthic macroinvertebrate trophic position was elevated where impacts from the spill were most pronounced. Autochthonous carbon contribution to consumer diets was lowest in biota sampled at the most highly impacted site from the mine spill, leading to an unexpected expansion of the isotopic niche size of rainbow trout and the aquatic invertebrate community. Collectively, our results suggest variation in trophic resource assimilation across multiple levels of the food web, fueled by the allochthonous energy pathway in highly impacted study sites. We conclude this reflects a biotic response to altered basal aquatic resources following a major industrial disturbance.",10.1139/cjfas-2021-0112,Aquatic,Stream,"Hinton (Foothills Natural Region), Alberta, Canada",Spatial,Rainbow Trout (Oncorhynchus mykiss),NA,Pollution,Coal mine spill,% autochthnous derived carbon,Stable isotope analysis,Stable Isotope Analysis,No,No change,NA,"The 2013 Obed coal mine spill led to slightly reduced autochthonous resource use by Athabasca rainbow trout in highly impacted reaches of Apetowun Creek. Although this trend was likely driven by changes in resource density (e.g., reduced periphyton biomass and benthic prey), the differences in autochthonous contribution to trout diet were not statistically significant across impact levels.",Figure 3,Two source mixing model (Post 2002)
